<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20131204,103200,33.2560000,33.2560000,33.2525000,33.2560000,11173000
USD000000TOD,1,20131204,103300,33.2550000,33.2555000,33.2525000,33.2550000,2357000
USD000000TOD,1,20131204,103400,33.2550000,33.2560000,33.2550000,33.2550000,3308000
USD000000TOD,1,20131204,103500,33.2560000,33.2560000,33.2550000,33.2550000,2942000
USD000000TOD,1,20131204,103600,33.2550000,33.2550000,33.2540000,33.2550000,1585000
USD000000TOD,1,20131204,103700,33.2540000,33.2565000,33.2525000,33.2555000,7351000
USD000000TOD,1,20131204,103800,33.2545000,33.2560000,33.2540000,33.2555000,3459000
USD000000TOD,1,20131204,103900,33.2530000,33.2565000,33.2530000,33.2535000,1282000
USD000000TOD,1,20131204,104000,33.2555000,33.2560000,33.2535000,33.2535000,575000
USD000000TOD,1,20131204,104100,33.2565000,33.2610000,33.2535000,33.2610000,8595000
USD000000TOD,1,20131204,104200,33.2580000,33.2600000,33.2570000,33.2570000,1896000
USD000000TOD,1,20131204,104300,33.2605000,33.2610000,33.2600000,33.2600000,2674000
USD000000TOD,1,20131204,104400,33.2605000,33.2615000,33.2605000,33.2610000,1821000
USD000000TOD,1,20131204,104500,33.2620000,33.2620000,33.2600000,33.2620000,1484000
USD000000TOD,1,20131204,104600,33.2615000,33.2625000,33.2605000,33.2620000,6196000
USD000000TOD,1,20131204,104700,33.2625000,33.2645000,33.2615000,33.2645000,6901000
USD000000TOD,1,20131204,104800,33.2615000,33.2650000,33.2595000,33.2650000,11343000
USD000000TOD,1,20131204,104900,33.2650000,33.2650000,33.2615000,33.2640000,10245000
USD000000TOD,1,20131204,105000,33.2650000,33.2650000,33.2615000,33.2615000,5591000
USD000000TOD,1,20131204,105100,33.2645000,33.2645000,33.2630000,33.2630000,1947000
USD000000TOD,1,20131204,105200,33.2645000,33.2645000,33.2625000,33.2640000,2256000
USD000000TOD,1,20131204,105300,33.2645000,33.2645000,33.2555000,33.2580000,10260000
USD000000TOD,1,20131204,105400,33.2600000,33.2600000,33.2600000,33.2600000,4794000
USD000000TOD,1,20131204,105500,33.2600000,33.2610000,33.2585000,33.2610000,8337000
USD000000TOD,1,20131204,105600,33.2610000,33.2630000,33.2600000,33.2610000,2049000
USD000000TOD,1,20131204,105700,33.2610000,33.2630000,33.2600000,33.2630000,5149000
USD000000TOD,1,20131204,105800,33.2630000,33.2640000,33.2595000,33.2625000,3187000
USD000000TOD,1,20131204,105900,33.2620000,33.2620000,33.2600000,33.2600000,786000
USD000000TOD,1,20131204,110000,33.2600000,33.2630000,33.2580000,33.2600000,28798000
USD000000TOD,1,20131204,110100,33.2585000,33.2600000,33.2555000,33.2555000,2584000
USD000000TOD,1,20131204,110200,33.2595000,33.2610000,33.2595000,33.2610000,1249000
USD000000TOD,1,20131204,110300,33.2595000,33.2600000,33.2565000,33.2600000,3554000
USD000000TOD,1,20131204,110400,33.2565000,33.2630000,33.2565000,33.2630000,14981000
USD000000TOD,1,20131204,110500,33.2610000,33.2635000,33.2600000,33.2605000,18839000
USD000000TOD,1,20131204,110600,33.2600000,33.2630000,33.2590000,33.2625000,2821000
USD000000TOD,1,20131204,110700,33.2625000,33.2625000,33.2580000,33.2580000,5940000
USD000000TOD,1,20131204,110800,33.2580000,33.2600000,33.2580000,33.2590000,829000
USD000000TOD,1,20131204,110900,33.2610000,33.2610000,33.2590000,33.2605000,266000
USD000000TOD,1,20131204,111000,33.2605000,33.2625000,33.2600000,33.2615000,1782000
USD000000TOD,1,20131204,111100,33.2605000,33.2630000,33.2570000,33.2630000,11910000
USD000000TOD,1,20131204,111200,33.2610000,33.2635000,33.2610000,33.2630000,6143000
USD000000TOD,1,20131204,111300,33.2630000,33.2650000,33.2630000,33.2650000,20471000
USD000000TOD,1,20131204,111400,33.2650000,33.2650000,33.2595000,33.2610000,3488000
USD000000TOD,1,20131204,111500,33.2610000,33.2610000,33.2540000,33.2570000,16783000
USD000000TOD,1,20131204,111600,33.2565000,33.2580000,33.2500000,33.2580000,23423000
USD000000TOD,1,20131204,111700,33.2560000,33.2580000,33.2560000,33.2580000,1799000
USD000000TOD,1,20131204,111800,33.2550000,33.2595000,33.2550000,33.2575000,3163000
USD000000TOD,1,20131204,111900,33.2590000,33.2600000,33.2575000,33.2600000,17784000
USD000000TOD,1,20131204,112000,33.2605000,33.2630000,33.2575000,33.2620000,4848000
USD000000TOD,1,20131204,112100,33.2615000,33.2615000,33.2555000,33.2580000,1511000
USD000000TOD,1,20131204,112200,33.2580000,33.2595000,33.2575000,33.2595000,2747000
USD000000TOD,1,20131204,112300,33.2595000,33.2595000,33.2575000,33.2575000,1945000
USD000000TOD,1,20131204,112400,33.2595000,33.2620000,33.2595000,33.2620000,7270000
USD000000TOD,1,20131204,112500,33.2615000,33.2620000,33.2600000,33.2620000,1314000
USD000000TOD,1,20131204,112600,33.2610000,33.2630000,33.2610000,33.2625000,1036000
USD000000TOD,1,20131204,112700,33.2610000,33.2625000,33.2595000,33.2595000,2004000
USD000000TOD,1,20131204,112800,33.2600000,33.2620000,33.2585000,33.2585000,1634000
USD000000TOD,1,20131204,112900,33.2605000,33.2615000,33.2590000,33.2610000,1105000
USD000000TOD,1,20131204,113000,33.2590000,33.2590000,33.2575000,33.2575000,1141000
USD000000TOD,1,20131204,113100,33.2625000,33.2625000,33.2605000,33.2605000,1875000
USD000000TOD,1,20131204,113200,33.2605000,33.2605000,33.2545000,33.2580000,4418000
USD000000TOD,1,20131204,113300,33.2580000,33.2580000,33.2530000,33.2540000,5622000
USD000000TOD,1,20131204,113400,33.2545000,33.2555000,33.2515000,33.2515000,4550000
USD000000TOD,1,20131204,113500,33.2530000,33.2540000,33.2505000,33.2525000,1472000
USD000000TOD,1,20131204,113600,33.2525000,33.2525000,33.2525000,33.2525000,35000
USD000000TOD,1,20131204,113700,33.2530000,33.2535000,33.2515000,33.2535000,647000
USD000000TOD,1,20131204,113800,33.2530000,33.2535000,33.2510000,33.2535000,5184000
USD000000TOD,1,20131204,113900,33.2530000,33.2540000,33.2525000,33.2535000,2922000
USD000000TOD,1,20131204,114000,33.2535000,33.2540000,33.2535000,33.2540000,1418000
USD000000TOD,1,20131204,114100,33.2540000,33.2540000,33.2525000,33.2530000,1208000
USD000000TOD,1,20131204,114200,33.2525000,33.2540000,33.2500000,33.2520000,6295000
USD000000TOD,1,20131204,114300,33.2520000,33.2520000,33.2395000,33.2470000,22878000
USD000000TOD,1,20131204,114400,33.2470000,33.2495000,33.2470000,33.2475000,1443000
USD000000TOD,1,20131204,114500,33.2475000,33.2495000,33.2400000,33.2445000,15635000
USD000000TOD,1,20131204,114600,33.2460000,33.2480000,33.2350000,33.2355000,18524000
USD000000TOD,1,20131204,114700,33.2360000,33.2400000,33.2360000,33.2380000,13104000
USD000000TOD,1,20131204,114800,33.2390000,33.2390000,33.2340000,33.2360000,3226000
USD000000TOD,1,20131204,114900,33.2350000,33.2360000,33.2315000,33.2320000,5449000
USD000000TOD,1,20131204,115000,33.2325000,33.2340000,33.2150000,33.2150000,33563000
USD000000TOD,1,20131204,115100,33.2145000,33.2315000,33.2140000,33.2300000,2350000
USD000000TOD,1,20131204,115200,33.2300000,33.2345000,33.2285000,33.2340000,10933000
USD000000TOD,1,20131204,115300,33.2340000,33.2400000,33.2310000,33.2380000,10937000
USD000000TOD,1,20131204,115400,33.2370000,33.2370000,33.2310000,33.2350000,5640000
USD000000TOD,1,20131204,115500,33.2350000,33.2355000,33.2335000,33.2350000,880000
USD000000TOD,1,20131204,115600,33.2350000,33.2365000,33.2350000,33.2350000,4928000
USD000000TOD,1,20131204,115700,33.2380000,33.2380000,33.2335000,33.2335000,4366000
USD000000TOD,1,20131204,115800,33.2350000,33.2355000,33.2350000,33.2355000,74000
USD000000TOD,1,20131204,115900,33.2325000,33.2325000,33.2285000,33.2300000,10053000
USD000000TOD,1,20131204,120000,33.2290000,33.2300000,33.2270000,33.2270000,1444000
USD000000TOD,1,20131204,120100,33.2285000,33.2285000,33.2235000,33.2260000,5269000
USD000000TOD,1,20131204,120200,33.2290000,33.2335000,33.2290000,33.2300000,5854000
USD000000TOD,1,20131204,120300,33.2305000,33.2325000,33.2285000,33.2285000,3878000
USD000000TOD,1,20131204,120400,33.2300000,33.2400000,33.2300000,33.2400000,3478000
USD000000TOD,1,20131204,120500,33.2400000,33.2400000,33.2365000,33.2400000,2916000
USD000000TOD,1,20131204,120600,33.2390000,33.2390000,33.2330000,33.2375000,4334000
USD000000TOD,1,20131204,120700,33.2385000,33.2385000,33.2330000,33.2345000,2223000
USD000000TOD,1,20131204,120800,33.2320000,33.2335000,33.2320000,33.2335000,1156000
USD000000TOD,1,20131204,120900,33.2385000,33.2385000,33.2265000,33.2295000,6692000
USD000000TOD,1,20131204,121000,33.2370000,33.2400000,33.2370000,33.2400000,1858000
USD000000TOD,1,20131204,121100,33.2410000,33.2455000,33.2410000,33.2425000,807000
USD000000TOD,1,20131204,121200,33.2445000,33.2475000,33.2445000,33.2460000,1447000
USD000000TOD,1,20131204,121300,33.2440000,33.2460000,33.2425000,33.2460000,1755000
USD000000TOD,1,20131204,121400,33.2410000,33.2435000,33.2400000,33.2400000,5919000
USD000000TOD,1,20131204,121500,33.2400000,33.2400000,33.2365000,33.2365000,1366000
USD000000TOD,1,20131204,121600,33.2370000,33.2390000,33.2360000,33.2390000,3235000
USD000000TOD,1,20131204,121700,33.2395000,33.2400000,33.2355000,33.2370000,1599000
USD000000TOD,1,20131204,121800,33.2395000,33.2410000,33.2395000,33.2410000,470000
USD000000TOD,1,20131204,121900,33.2410000,33.2425000,33.2410000,33.2420000,681000
USD000000TOD,1,20131204,122000,33.2425000,33.2450000,33.2400000,33.2425000,4367000
USD000000TOD,1,20131204,122100,33.2430000,33.2450000,33.2430000,33.2450000,2445000
USD000000TOD,1,20131204,122200,33.2450000,33.2470000,33.2450000,33.2470000,2763000
USD000000TOD,1,20131204,122300,33.2465000,33.2475000,33.2450000,33.2450000,797000
USD000000TOD,1,20131204,122400,33.2485000,33.2495000,33.2460000,33.2495000,1808000
USD000000TOD,1,20131204,122500,33.2490000,33.2490000,33.2475000,33.2475000,80000
USD000000TOD,1,20131204,122600,33.2500000,33.2500000,33.2495000,33.2500000,1068000
USD000000TOD,1,20131204,122700,33.2510000,33.2525000,33.2500000,33.2500000,668000
USD000000TOD,1,20131204,122800,33.2525000,33.2525000,33.2475000,33.2490000,1530000
USD000000TOD,1,20131204,122900,33.2475000,33.2515000,33.2450000,33.2450000,3367000
USD000000TOD,1,20131204,123000,33.2455000,33.2455000,33.2450000,33.2455000,1381000
USD000000TOD,1,20131204,123100,33.2430000,33.2450000,33.2425000,33.2450000,1980000
USD000000TOD,1,20131204,123200,33.2450000,33.2465000,33.2450000,33.2465000,1675000
USD000000TOD,1,20131204,123300,33.2450000,33.2470000,33.2435000,33.2465000,2205000
USD000000TOD,1,20131204,123400,33.2435000,33.2450000,33.2390000,33.2450000,4285000
USD000000TOD,1,20131204,123500,33.2470000,33.2475000,33.2460000,33.2460000,2115000
USD000000TOD,1,20131204,123600,33.2465000,33.2470000,33.2405000,33.2410000,3145000
USD000000TOD,1,20131204,123700,33.2415000,33.2415000,33.2415000,33.2415000,54000
USD000000TOD,1,20131204,123800,33.2430000,33.2430000,33.2310000,33.2310000,4340000
USD000000TOD,1,20131204,123900,33.2305000,33.2355000,33.2290000,33.2350000,3849000
USD000000TOD,1,20131204,124000,33.2350000,33.2350000,33.2350000,33.2350000,5000
USD000000TOD,1,20131204,124100,33.2310000,33.2350000,33.2310000,33.2345000,987000
USD000000TOD,1,20131204,124200,33.2345000,33.2380000,33.2345000,33.2380000,491000
USD000000TOD,1,20131204,124300,33.2405000,33.2460000,33.2380000,33.2380000,5003000
USD000000TOD,1,20131204,124400,33.2400000,33.2430000,33.2375000,33.2380000,2506000
USD000000TOD,1,20131204,124500,33.2355000,33.2410000,33.2355000,33.2370000,3388000
USD000000TOD,1,20131204,124600,33.2370000,33.2415000,33.2370000,33.2415000,199000
USD000000TOD,1,20131204,124700,33.2450000,33.2490000,33.2425000,33.2480000,6838000
USD000000TOD,1,20131204,124800,33.2480000,33.2500000,33.2445000,33.2475000,19428000
USD000000TOD,1,20131204,124900,33.2465000,33.2465000,33.2440000,33.2440000,1900000
USD000000TOD,1,20131204,125000,33.2460000,33.2480000,33.2460000,33.2465000,2773000
USD000000TOD,1,20131204,125100,33.2480000,33.2480000,33.2430000,33.2445000,675000
USD000000TOD,1,20131204,125200,33.2440000,33.2465000,33.2440000,33.2465000,472000
USD000000TOD,1,20131204,125300,33.2425000,33.2425000,33.2345000,33.2345000,3168000
USD000000TOD,1,20131204,125400,33.2420000,33.2450000,33.2420000,33.2425000,384000
USD000000TOD,1,20131204,125500,33.2405000,33.2440000,33.2400000,33.2440000,1511000
USD000000TOD,1,20131204,125600,33.2370000,33.2390000,33.2370000,33.2390000,26000
USD000000TOD,1,20131204,125700,33.2370000,33.2400000,33.2365000,33.2365000,1278000
USD000000TOD,1,20131204,125800,33.2365000,33.2400000,33.2365000,33.2400000,1978000
USD000000TOD,1,20131204,125900,33.2390000,33.2410000,33.2390000,33.2410000,3420000
USD000000TOD,1,20131204,130000,33.2415000,33.2415000,33.2380000,33.2380000,1532000
USD000000TOD,1,20131204,130100,33.2395000,33.2465000,33.2385000,33.2415000,7136000
USD000000TOD,1,20131204,130200,33.2465000,33.2470000,33.2380000,33.2380000,4092000
USD000000TOD,1,20131204,130300,33.2400000,33.2450000,33.2355000,33.2450000,2448000
USD000000TOD,1,20131204,130400,33.2425000,33.2425000,33.2360000,33.2385000,342000
USD000000TOD,1,20131204,130500,33.2385000,33.2385000,33.2345000,33.2345000,237000
USD000000TOD,1,20131204,130600,33.2350000,33.2390000,33.2345000,33.2355000,1704000
USD000000TOD,1,20131204,130700,33.2385000,33.2390000,33.2385000,33.2385000,91000
USD000000TOD,1,20131204,130800,33.2390000,33.2400000,33.2390000,33.2400000,193000
USD000000TOD,1,20131204,130900,33.2455000,33.2455000,33.2450000,33.2455000,802000
USD000000TOD,1,20131204,131000,33.2465000,33.2465000,33.2400000,33.2405000,3780000
USD000000TOD,1,20131204,131100,33.2425000,33.2450000,33.2410000,33.2410000,1264000
USD000000TOD,1,20131204,131200,33.2405000,33.2425000,33.2400000,33.2400000,1418000
USD000000TOD,1,20131204,131300,33.2445000,33.2450000,33.2445000,33.2450000,11947000
USD000000TOD,1,20131204,131400,33.2450000,33.2465000,33.2450000,33.2465000,1884000
USD000000TOD,1,20131204,131500,33.2465000,33.2480000,33.2450000,33.2450000,2188000
USD000000TOD,1,20131204,131600,33.2480000,33.2480000,33.2450000,33.2450000,273000
USD000000TOD,1,20131204,131700,33.2455000,33.2475000,33.2455000,33.2475000,952000
USD000000TOD,1,20131204,131800,33.2480000,33.2495000,33.2480000,33.2495000,1479000
USD000000TOD,1,20131204,131900,33.2475000,33.2475000,33.2475000,33.2475000,1052000
USD000000TOD,1,20131204,132000,33.2475000,33.2500000,33.2475000,33.2500000,3345000
USD000000TOD,1,20131204,132100,33.2495000,33.2500000,33.2485000,33.2485000,1399000
USD000000TOD,1,20131204,132200,33.2450000,33.2450000,33.2410000,33.2450000,7639000
USD000000TOD,1,20131204,132300,33.2450000,33.2465000,33.2450000,33.2465000,298000
USD000000TOD,1,20131204,132400,33.2465000,33.2465000,33.2455000,33.2455000,1070000
USD000000TOD,1,20131204,132500,33.2475000,33.2475000,33.2475000,33.2475000,1000000
USD000000TOD,1,20131204,132600,33.2460000,33.2510000,33.2460000,33.2460000,7069000
USD000000TOD,1,20131204,132700,33.2490000,33.2500000,33.2490000,33.2500000,568000
USD000000TOD,1,20131204,132800,33.2470000,33.2500000,33.2400000,33.2500000,8476000
USD000000TOD,1,20131204,133000,33.2505000,33.2510000,33.2490000,33.2510000,303000
USD000000TOD,1,20131204,133100,33.2510000,33.2525000,33.2495000,33.2510000,3202000
USD000000TOD,1,20131204,133200,33.2480000,33.2510000,33.2475000,33.2475000,301000
USD000000TOD,1,20131204,133300,33.2500000,33.2500000,33.2500000,33.2500000,435000
USD000000TOD,1,20131204,133400,33.2495000,33.2495000,33.2490000,33.2490000,1122000
USD000000TOD,1,20131204,133500,33.2495000,33.2495000,33.2485000,33.2485000,972000
USD000000TOD,1,20131204,133600,33.2475000,33.2520000,33.2465000,33.2520000,5593000
USD000000TOD,1,20131204,133700,33.2525000,33.2525000,33.2520000,33.2525000,589000
USD000000TOD,1,20131204,133800,33.2520000,33.2535000,33.2500000,33.2535000,7545000
USD000000TOD,1,20131204,133900,33.2540000,33.2540000,33.2520000,33.2520000,1383000
USD000000TOD,1,20131204,134000,33.2525000,33.2530000,33.2525000,33.2530000,328000
USD000000TOD,1,20131204,134100,33.2505000,33.2510000,33.2480000,33.2480000,4132000
USD000000TOD,1,20131204,134200,33.2505000,33.2510000,33.2475000,33.2475000,3231000
USD000000TOD,1,20131204,134300,33.2500000,33.2515000,33.2500000,33.2500000,614000
USD000000TOD,1,20131204,134400,33.2495000,33.2500000,33.2495000,33.2495000,205000
USD000000TOD,1,20131204,134500,33.2495000,33.2530000,33.2485000,33.2530000,3543000
USD000000TOD,1,20131204,134600,33.2510000,33.2530000,33.2510000,33.2530000,450000
USD000000TOD,1,20131204,134700,33.2530000,33.2530000,33.2510000,33.2510000,820000
USD000000TOD,1,20131204,134800,33.2525000,33.2525000,33.2525000,33.2525000,7000
USD000000TOD,1,20131204,134900,33.2500000,33.2520000,33.2500000,33.2500000,373000
USD000000TOD,1,20131204,135000,33.2500000,33.2525000,33.2500000,33.2525000,3913000
USD000000TOD,1,20131204,135100,33.2525000,33.2525000,33.2520000,33.2520000,7016000
USD000000TOD,1,20131204,135200,33.2525000,33.2540000,33.2525000,33.2525000,2506000
USD000000TOD,1,20131204,135300,33.2515000,33.2515000,33.2510000,33.2510000,5891000
USD000000TOD,1,20131204,135400,33.2500000,33.2535000,33.2500000,33.2525000,243000
USD000000TOD,1,20131204,135500,33.2525000,33.2525000,33.2525000,33.2525000,30000
USD000000TOD,1,20131204,135600,33.2530000,33.2530000,33.2510000,33.2510000,548000
USD000000TOD,1,20131204,135700,33.2530000,33.2540000,33.2530000,33.2540000,991000
USD000000TOD,1,20131204,135800,33.2540000,33.2540000,33.2530000,33.2535000,339000
USD000000TOD,1,20131204,135900,33.2530000,33.2530000,33.2530000,33.2530000,1243000
USD000000TOD,1,20131204,140000,33.2520000,33.2550000,33.2520000,33.2550000,5149000
USD000000TOD,1,20131204,140100,33.2570000,33.2570000,33.2570000,33.2570000,10000
USD000000TOD,1,20131204,140200,33.2565000,33.2565000,33.2565000,33.2565000,3092000
USD000000TOD,1,20131204,140300,33.2550000,33.2550000,33.2510000,33.2510000,455000
USD000000TOD,1,20131204,140400,33.2510000,33.2600000,33.2500000,33.2600000,11145000
USD000000TOD,1,20131204,140500,33.2585000,33.2625000,33.2585000,33.2625000,4254000
USD000000TOD,1,20131204,140600,33.2620000,33.2620000,33.2570000,33.2600000,1195000
USD000000TOD,1,20131204,140700,33.2570000,33.2595000,33.2570000,33.2585000,1050000
USD000000TOD,1,20131204,140800,33.2600000,33.2600000,33.2580000,33.2600000,455000
USD000000TOD,1,20131204,140900,33.2575000,33.2580000,33.2540000,33.2540000,2216000
USD000000TOD,1,20131204,141000,33.2535000,33.2535000,33.2535000,33.2535000,140000
USD000000TOD,1,20131204,141100,33.2525000,33.2560000,33.2525000,33.2550000,5979000
USD000000TOD,1,20131204,141200,33.2525000,33.2535000,33.2480000,33.2535000,5554000
USD000000TOD,1,20131204,141300,33.2495000,33.2495000,33.2445000,33.2445000,8611000
USD000000TOD,1,20131204,141400,33.2455000,33.2485000,33.2445000,33.2445000,269000
USD000000TOD,1,20131204,141500,33.2480000,33.2480000,33.2480000,33.2480000,70000
USD000000TOD,1,20131204,141600,33.2480000,33.2485000,33.2450000,33.2460000,3905000
USD000000TOD,1,20131204,141700,33.2455000,33.2455000,33.2440000,33.2445000,4968000
USD000000TOD,1,20131204,141800,33.2445000,33.2445000,33.2425000,33.2425000,61000
USD000000TOD,1,20131204,141900,33.2450000,33.2450000,33.2410000,33.2425000,564000
USD000000TOD,1,20131204,142000,33.2410000,33.2435000,33.2400000,33.2400000,3429000
USD000000TOD,1,20131204,142100,33.2410000,33.2410000,33.2400000,33.2405000,5479000
USD000000TOD,1,20131204,142300,33.2420000,33.2445000,33.2375000,33.2400000,7989000
USD000000TOD,1,20131204,142400,33.2405000,33.2405000,33.2370000,33.2405000,1496000
USD000000TOD,1,20131204,142500,33.2410000,33.2410000,33.2410000,33.2410000,1158000
USD000000TOD,1,20131204,142600,33.2400000,33.2400000,33.2395000,33.2400000,730000
USD000000TOD,1,20131204,142700,33.2395000,33.2400000,33.2395000,33.2395000,289000
USD000000TOD,1,20131204,142800,33.2385000,33.2385000,33.2385000,33.2385000,190000
USD000000TOD,1,20131204,142900,33.2375000,33.2375000,33.2375000,33.2375000,13000
USD000000TOD,1,20131204,143000,33.2395000,33.2400000,33.2375000,33.2400000,3366000
USD000000TOD,1,20131204,143100,33.2400000,33.2410000,33.2395000,33.2395000,2085000
USD000000TOD,1,20131204,143200,33.2395000,33.2400000,33.2395000,33.2400000,611000
USD000000TOD,1,20131204,143300,33.2400000,33.2400000,33.2400000,33.2400000,443000
USD000000TOD,1,20131204,143400,33.2400000,33.2400000,33.2370000,33.2385000,522000
USD000000TOD,1,20131204,143500,33.2365000,33.2380000,33.2305000,33.2325000,10735000
USD000000TOD,1,20131204,143600,33.2325000,33.2335000,33.2325000,33.2325000,1187000
USD000000TOD,1,20131204,143700,33.2320000,33.2320000,33.2300000,33.2310000,5991000
USD000000TOD,1,20131204,143800,33.2305000,33.2305000,33.2250000,33.2250000,1314000
USD000000TOD,1,20131204,143900,33.2255000,33.2285000,33.2245000,33.2280000,1970000
USD000000TOD,1,20131204,144000,33.2280000,33.2285000,33.2250000,33.2285000,1903000
USD000000TOD,1,20131204,144100,33.2280000,33.2280000,33.2200000,33.2250000,11884000
USD000000TOD,1,20131204,144300,33.2250000,33.2250000,33.2205000,33.2230000,2307000
USD000000TOD,1,20131204,144400,33.2235000,33.2250000,33.2235000,33.2240000,1396000
USD000000TOD,1,20131204,144500,33.2255000,33.2260000,33.2230000,33.2230000,1610000
USD000000TOD,1,20131204,144600,33.2230000,33.2255000,33.2230000,33.2230000,765000
USD000000TOD,1,20131204,144700,33.2245000,33.2245000,33.2240000,33.2240000,294000
USD000000TOD,1,20131204,144800,33.2250000,33.2260000,33.2250000,33.2250000,1430000
USD000000TOD,1,20131204,144900,33.2255000,33.2255000,33.2250000,33.2255000,903000
USD000000TOD,1,20131204,145000,33.2255000,33.2260000,33.2255000,33.2255000,1026000
USD000000TOD,1,20131204,145100,33.2250000,33.2255000,33.2245000,33.2255000,775000
USD000000TOD,1,20131204,145200,33.2250000,33.2250000,33.2225000,33.2250000,2655000
USD000000TOD,1,20131204,145300,33.2245000,33.2245000,33.2185000,33.2185000,19139000
USD000000TOD,1,20131204,145400,33.2200000,33.2205000,33.2185000,33.2205000,4632000
USD000000TOD,1,20131204,145500,33.2200000,33.2210000,33.2200000,33.2210000,2000000
USD000000TOD,1,20131204,145600,33.2205000,33.2205000,33.2200000,33.2200000,14000
USD000000TOD,1,20131204,145700,33.2180000,33.2190000,33.2180000,33.2180000,1599000
USD000000TOD,1,20131204,145800,33.2175000,33.2180000,33.2110000,33.2145000,25047000
USD000000TOD,1,20131204,145900,33.2110000,33.2110000,33.2010000,33.2025000,11616000
USD000000TOD,1,20131204,150000,33.2010000,33.2025000,33.1990000,33.2025000,3277000
USD000000TOD,1,20131204,150100,33.2050000,33.2050000,33.2045000,33.2045000,725000
USD000000TOD,1,20131204,150200,33.2045000,33.2045000,33.1895000,33.1895000,6566000
USD000000TOD,1,20131204,150300,33.1950000,33.1990000,33.1940000,33.1950000,2677000
USD000000TOD,1,20131204,150400,33.1950000,33.1950000,33.1900000,33.1925000,2665000
USD000000TOD,1,20131204,150500,33.1905000,33.1935000,33.1900000,33.1925000,1695000
USD000000TOD,1,20131204,150600,33.1915000,33.1925000,33.1895000,33.1900000,2297000
USD000000TOD,1,20131204,150700,33.1905000,33.1935000,33.1905000,33.1930000,1813000
USD000000TOD,1,20131204,150800,33.1920000,33.1945000,33.1915000,33.1915000,915000
USD000000TOD,1,20131204,150900,33.1920000,33.1920000,33.1850000,33.1900000,2208000
USD000000TOD,1,20131204,151000,33.1900000,33.1920000,33.1880000,33.1885000,5214000
USD000000TOD,1,20131204,151100,33.1900000,33.1900000,33.1825000,33.1840000,2861000
USD000000TOD,1,20131204,151200,33.1845000,33.1850000,33.1805000,33.1815000,1110000
